,Hs,Tp,Dir,P,PPer,Px,Py,Ppar,Hsp,ponto,time
3226,1.392578125,8.752137184143066,60.181640625,8.343639081516244,8.16676904769248,-7.238992686378826,-4.148891178273911,-2.5236704248722814,1.291792481903827,26,2023-01-30 08:00:00
3227,1.3916015625,8.677966117858887,58.326171875,8.260700236408937,8.026568885213596,-7.030277596935047,-4.337552916776907,-2.4803461920521777,1.28535600021231,26,2023-01-30 09:00:00
3228,1.3818359375,8.677966117858887,56.9365234375,8.145167389766149,7.865287174989804,-6.826193240917713,-4.443741401674857,-2.43050740271117,1.276335958105557,26,2023-01-30 10:00:00
3229,1.361328125,8.605042457580566,56.3759765625,7.838252747271609,7.5486271704702945,-6.526827915876457,-4.340359833774927,-2.332654079875794,1.252058524772034,26,2023-01-30 11:00:00
3230,1.3349609375,8.605042457580566,56.5224609375,7.537559353596904,7.2642108281812,-6.2870942880215415,-4.157793455971939,-2.244764596630502,1.2278077499019873,26,2023-01-30 12:00:00
3231,1.310546875,8.533333778381348,56.990234375,7.203441569053179,6.957672378072843,-6.040645651998805,-3.924305103550342,-2.1500390061176624,1.200286763157303,26,2023-01-30 13:00:00
3232,1.2900390625,8.462809562683105,57.513671875,6.921744613482634,6.701684067043735,-5.838627467927138,-3.7176575669422,-2.0709342676483287,1.1765835808375564,26,2023-01-30 14:00:00
3233,1.2724609375,8.462809562683105,58.080078125,6.734397816711662,6.536628049292375,-5.716075360967928,-3.5607016754378873,-2.019929153139305,1.160551404868536,26,2023-01-30 15:00:00
3234,1.2568359375,8.393442153930664,58.931640625,6.515904431519025,6.347148912597289,-5.581212281115488,-3.362600189409219,-1.96137687982103,1.1415694837826584,26,2023-01-30 16:00:00
3235,1.2431640625,8.393442153930664,60.279296875,6.374915307220248,6.241994957128911,-5.536310688589951,-3.1605077335193625,-1.9288825205555549,1.1291514785200654,26,2023-01-30 17:00:00
3236,1.2314453125,8.325202941894531,62.0185546875,6.204221382094172,6.110313888105463,-5.478945299304774,-2.910931357016278,-1.8881908323898486,1.1139318993631677,26,2023-01-30 18:00:00
3237,1.2216796875,8.258064270019531,63.771484375,6.056785631613391,5.994431769212095,-5.433170048191396,-2.676810679662333,-1.85238128830762,1.1006167027274654,26,2023-01-30 19:00:00
3238,1.216796875,8.258064270019531,65.341796875,6.008466832704831,5.967942702700092,-5.460571367086711,-2.5067576717079763,-1.8441957165902827,1.0962177550746777,26,2023-01-30 20:00:00
3239,1.21875,8.192000389099121,66.7255859375,5.979397853114047,5.954080172572725,-5.492811940224876,-2.3626713006992532,-1.8399119591958917,1.0935627876911365,26,2023-01-30 21:00:00
3240,1.2255859375,8.126984596252441,67.5,5.998544284128798,5.980052774013776,-5.541932288969165,-2.295543515844399,-1.8479379344293037,1.0953122188790552,26,2023-01-30 22:00:00
3241,1.2392578125,8.126984596252441,67.5498046875,6.133122821500569,6.11463242589466,-5.668304686164534,-2.3421181713176393,-1.8895253339575613,1.1075308412410527,26,2023-01-30 23:00:00
